Date,S&P500,Bond Rate,PrDec,PrInc
2007-01-08,1412.84,4.9,0.06,0.05690639715
2007-01-09,1412.11,4.91,0.06,0.05690639715
2007-01-10,1414.85,4.91,0.06,0.05690639715
2007-01-11,1423.82,4.945,0.06,0.05690639715
2007-01-12,1430.73,4.95,0.06,0.05690639715
2007-01-16,1431.9,4.965,0.06,0.05621644703416667
2007-01-17,1430.62,4.955,0.06,0.055526496918333335
2007-01-18,1426.37,4.955,0.06,0.054836546802500004
2007-01-19,1430.5,4.98,0.06,0.054146596686666666
2007-01-22,1422.95,4.98,0.06,0.053456646570833335
2007-01-23,1427.99,5.0,0.06,0.052766696455
2007-01-24,1440.13,4.99,0.06,0.05207674633916667
2007-01-25,1423.9,5.005,0.06,0.051386796223333336
2007-01-26,1422.18,4.99,0.06,0.0506968461075
2007-01-29,1420.62,5.0,0.06,0.05000689599166667
2007-01-30,1428.82,4.995,0.06,0.04931694587583333
2007-01-31,1438.24,4.995,0.06,0.04862699576
2007-02-01,1445.94,4.995,0.05909090909090909,0.04833099079
2007-02-02,1448.39,4.975,0.05818181818181818,0.04803498582
2007-02-05,1446.99,4.99,0.057272727272727274,0.04773898085
2007-02-06,1448.0,5.0,0.056363636363636366,0.04744297588
2007-02-07,1450.02,4.995,0.05545454545454545,0.04714697091
2007-02-08,1448.31,5.01,0.05454545454545455,0.046850965939999996
2007-02-09,1438.06,5.01,0.053636363636363635,0.046554960969999996
2007-02-12,1433.37,5.015,0.05272727272727273,0.046258956
2007-02-13,1444.26,5.015,0.05181818181818182,0.04596295103
2007-02-14,1455.3,5.02,0.05090909090909091,0.04566694606
2007-02-15,1456.81,5.025,0.05,0.04537094109
2007-02-16,1455.54,5.01,0.052500000000000005,0.04978263832875
2007-02-20,1459.68,5.02,0.05500000000000001,0.0541943355675
2007-02-21,1457.63,5.03,0.0575,0.05860603280625
2007-02-22,1456.38,5.035,0.060000000000000005,0.063017730045
2007-02-23,1451.19,5.035,0.0625,0.06742942728375001
2007-02-26,1449.37,5.045,0.065,0.0718411245225
2007-02-27,1399.04,5.04,0.0675,0.07625282176125
2007-02-28,1406.82,5.045,0.07,0.080664519
2007-03-01,1403.17,4.99,0.07090909090909092,0.08024717911909092
2007-03-02,1387.17,4.995,0.07181818181818182,0.07982983923818182
2007-03-05,1374.12,4.99,0.07272727272727274,0.07941249935727274
2007-03-06,1395.41,4.97,0.07363636363636364,0.07899515947636364
2007-03-07,1391.97,4.96,0.07454545454545455,0.07857781959545455
2007-03-08,1401.89,4.975,0.07545454545454545,0.07816047971454546
2007-03-09,1402.84,4.955,0.07636363636363637,0.07774313983363637
2007-03-12,1406.6,4.945,0.07727272727272727,0.07732579995272727
2007-03-13,1377.95,4.95,0.07818181818181819,0.07690846007181819
2007-03-14,1387.17,4.95,0.0790909090909091,0.07649112019090909
2007-03-15,1392.28,4.935,0.08,0.07607378031
2007-03-16,1386.95,4.915,0.07909090909090909,0.07547421932636364
2007-03-19,1402.06,4.895,0.07818181818181819,0.07487465834272727
2007-03-20,1410.94,4.885,0.07727272727272727,0.07427509735909091
2007-03-21,1435.04,4.895,0.07636363636363637,0.07367553637545454
2007-03-22,1434.54,4.91,0.07545454545454545,0.07307597539181818
2007-03-23,1436.11,4.91,0.07454545454545455,0.07247641440818182
2007-03-26,1437.5,4.92,0.07363636363636364,0.07187685342454546
2007-03-27,1428.61,4.925,0.07272727272727274,0.07127729244090909
2007-03-28,1417.23,4.93,0.07181818181818182,0.07067773145727273
2007-03-29,1422.53,4.92,0.07090909090909092,0.07007817047363636
2007-03-30,1420.86,4.91,0.07,0.06947860949
2007-04-02,1424.55,4.905,0.07,0.06721772089888889
2007-04-03,1437.77,4.895,0.07,0.06495683230777777
2007-04-04,1439.37,4.905,0.07,0.06269594371666666
2007-04-05,1443.76,4.905,0.07,0.060435055125555553
2007-04-09,1444.61,4.905,0.07,0.05817416653444444
2007-04-10,1448.39,4.895,0.07,0.055913277943333325
2007-04-11,1438.87,4.885,0.07,0.05365238935222222
2007-04-12,1447.8,4.88,0.07,0.05139150076111111
2007-04-13,1452.85,4.885,0.07,0.04913061217
2007-04-16,1468.33,4.885,0.06909090909090909,0.05089594800181818
2007-04-17,1471.48,4.87,0.06818181818181819,0.052661283833636365
2007-04-18,1472.5,4.865,0.06727272727272728,0.05442661966545455
2007-04-19,1470.73,4.86,0.06636363636363636,0.056191955497272725
2007-04-20,1484.35,4.85,0.06545454545454546,0.05795729132909091
2007-04-23,1480.93,4.845,0.06454545454545454,0.05972262716090909
2007-04-24,1480.41,4.835,0.06363636363636364,0.061487962992727276
2007-04-25,1495.42,4.84,0.06272727272727273,0.06325329882454546
2007-04-26,1494.25,4.835,0.061818181818181814,0.06501863465636364
2007-04-27,1494.07,4.82,0.060909090909090906,0.06678397048818183
2007-04-30,1482.37,4.8,0.06,0.06854930632
2007-05-01,1486.3,4.795,0.060909090909090906,0.07037821487181818
2007-05-02,1495.92,4.725,0.06181818181818182,0.07220712342363636
2007-05-03,1502.39,4.755,0.06272727272727273,0.07403603197545455
2007-05-04,1505.62,4.755,0.06363636363636364,0.07586494052727273
2007-05-07,1509.48,4.75,0.06454545454545454,0.07769384907909091
2007-05-08,1507.72,4.75,0.06545454545454546,0.07952275763090909
2007-05-09,1512.58,4.73,0.06636363636363636,0.08135166618272727
2007-05-10,1491.47,4.755,0.06727272727272728,0.08318057473454546
2007-05-11,1505.85,4.73,0.06818181818181819,0.08500948328636364
2007-05-14,1503.15,4.72,0.06909090909090909,0.08683839183818182
2007-05-15,1501.19,4.715,0.07,0.08866730039
2007-05-16,1514.14,4.7,0.07,0.08870820255727273
2007-05-17,1512.75,4.69,0.07,0.08874910472454545
2007-05-18,1522.75,4.61,0.07,0.08879000689181818
2007-05-21,1525.1,4.66,0.07,0.08883090905909091
2007-05-22,1524.12,4.685,0.07,0.08887181122636363
2007-05-23,1522.28,4.71,0.07,0.08891271339363636
2007-05-24,1507.51,4.775,0.07,0.08895361556090908
2007-05-25,1515.73,4.765,0.07,0.08899451772818182
2007-05-29,1518.11,4.765,0.07,0.08903541989545455
2007-05-30,1530.23,4.74,0.07,0.08907632206272727
2007-05-31,1530.62,4.685,0.07,0.08911722423
2007-06-01,1536.34,4.705,0.07,0.08902925916818182
2007-06-04,1539.18,4.59,0.07,0.08894129410636363
2007-06-05,1530.95,4.655,0.07,0.08885332904454546
2007-06-06,1517.38,4.625,0.07,0.08876536398272727
2007-06-07,1490.72,4.69,0.07,0.08867739892090909
2007-06-08,1507.67,4.655,0.07,0.0885894338590909
2007-06-11,1509.12,4.66,0.07,0.08850146879727272
2007-06-12,1493.0,4.63,0.07,0.08841350373545454
2007-06-13,1515.67,4.59,0.07,0.08832553867363636
2007-06-14,1522.97,4.59,0.07,0.08823757361181818
2007-06-15,1532.91,4.515,0.07,0.08814960855
2007-06-18,1531.05,4.51,0.069,0.08783703722
2007-06-19,1533.7,4.43,0.068,0.08752446589
2007-06-20,1512.84,4.41,0.067,0.08721189455999999
2007-06-21,1522.19,4.515,0.066,0.08689932322999999
2007-06-22,1502.56,4.6,0.065,0.0865867519
2007-06-25,1497.74,4.56,0.064,0.08627418057
2007-06-26,1492.89,4.585,0.063,0.08596160924
2007-06-27,1506.34,4.64,0.062,0.08564903790999999
2007-06-28,1505.71,4.675,0.061,0.08533646657999999
2007-06-29,1503.35,4.635,0.06,0.08502389525
2007-07-02,1519.43,4.64,0.06333333333333332,0.08823678621111111
2007-07-03,1524.87,4.67,0.06666666666666667,0.09144967717222222
2007-07-05,1525.4,4.73,0.06999999999999999,0.09466256813333333
2007-07-06,1530.44,4.815,0.07333333333333333,0.09787545909444444
2007-07-09,1531.85,4.81,0.07666666666666666,0.10108835005555555
2007-07-10,1510.12,4.79,0.07999999999999999,0.10430124101666666
2007-07-11,1518.76,4.785,0.08333333333333333,0.10751413197777777
2007-07-12,1547.7,4.805,0.08666666666666667,0.11072702293888889
2007-07-13,1552.5,4.805,0.09,0.1139399139
2007-07-16,1549.52,4.815,0.0925,0.11785006443333333
2007-07-17,1549.37,4.82,0.095,0.12176021496666667
2007-07-18,1546.17,4.79,0.0975,0.1256703655
2007-07-19,1553.08,4.81,0.09999999999999999,0.12958051603333334
2007-07-20,1534.1,4.815,0.1025,0.13349066656666667
2007-07-23,1541.57,4.83,0.105,0.13740081710000002
2007-07-24,1511.04,4.825,0.1075,0.14131096763333334
2007-07-25,1518.09,4.855,0.11,0.14522111816666666
2007-07-26,1482.66,4.875,0.11249999999999999,0.1491312687
2007-07-27,1458.95,4.835,0.11499999999999999,0.15304141923333334
2007-07-30,1473.91,4.77,0.1175,0.1569515697666667
2007-07-31,1455.27,4.705,0.12,0.1608617203
2007-08-01,1465.81,4.72,0.12181818181818181,0.16624789880000002
2007-08-02,1472.2,4.81,0.12363636363636364,0.17163407730000002
2007-08-03,1433.06,4.74,0.12545454545454546,0.17702025580000003
2007-08-06,1467.67,4.745,0.1272727272727273,0.1824064343
2007-08-07,1476.71,4.7,0.1290909090909091,0.1877926128
2007-08-08,1497.49,4.715,0.13090909090909092,0.1931787913
2007-08-09,1453.09,4.785,0.13272727272727272,0.19856496980000002
2007-08-10,1453.64,4.805,0.13454545454545455,0.2039511483
2007-08-13,1452.92,4.72,0.13636363636363638,0.2093373268
2007-08-14,1426.54,4.415,0.13818181818181818,0.2147235053
2007-08-15,1406.7,4.53,0.14,0.2201096838
2007-08-16,1411.27,4.5,0.14,0.2171858208916667
2007-08-17,1445.94,4.13,0.14,0.21426195798333333
2007-08-20,1445.55,3.7,0.14,0.211338095075
2007-08-21,1447.12,3.62,0.14,0.20841423216666669
2007-08-22,1464.07,2.95,0.14,0.20549036925833333
2007-08-23,1462.5,3.42,0.14,0.20256650635
2007-08-24,1479.37,3.565,0.14,0.19964264344166668
2007-08-27,1466.79,3.71,0.14,0.19671878053333333
2007-08-28,1432.36,4.08,0.14,0.193794917625
2007-08-29,1463.76,4.38,0.14,0.19087105471666668
2007-08-30,1457.64,4.27,0.14,0.18794719180833336
2007-08-31,1473.99,3.85,0.14,0.1850233289
2007-09-04,1489.42,3.73,0.14,0.18551088544444444
2007-09-05,1472.29,3.99,0.14,0.1859984419888889
2007-09-06,1478.55,4.28,0.14,0.18648599853333334
2007-09-07,1453.55,4.22,0.14,0.18697355507777777
2007-09-10,1451.7,4.16,0.14,0.18746111162222223
